tema,corpo
Nel blu dipinto di blu,Felice di stare lassù
Casa per primati,le scimmie vivono nella giungla
Gas noblie molto leggero,L'elio è un gas meno leggero dell'aria
problema odierno,L'effetto serra va controllato
metallo pericoloso,L'uranio è un elemento radioattivo
lavoro del nobel piu famoso,Einstein era una scienziato
fisico italiano piu famoso,Fermi vinse il premio Nobel per la fisica
trois fois quatre est égal à douze,tre per quattro fa dodici
stato dei liquidi,l'acqua si ghiaccia a temperatura zero
La Juventus perde la finale,quattro a uno asensio e finita
tipico nel campionato spagnolo,Lionel Messi segna su punizione
casa del re degli animali,I leoni vivono nella savana
problema causato dai bracconieri,I rinoceronti sono in via di estinzione
animali sottovalutati,I suini sono piu intelligenti dei cani
motivazione per studenti,con studio e impegno si superano gli esami
Azienda della silicon valley,L'Apple è una grossa multinazionale
so estremamente popolare,Android è un sistema operativo per cellulari
colpa di bill gates,Windows è un sistema operativo che non funziona
motore per computer,Intel è un marchio di processori
Il treno dei desideri,Nei miei pensieri all incontrario va
